hash,file,mode,time,rwts,rwps
compare-4-ptr-refactor,./programs/sum_tail.hvmc,intr-singl,2.626s,110_000_008,41.889 M
compare-4-ptr-refactor,./programs/sum_tail.hvmc,comp-singl,2.450s,110_000_008,44.898 M
compare-4-ptr-refactor,./programs/merge_sort.hvmc,intr-multi,4.049s,494_927_834,122.265 M
compare-4-ptr-refactor,./programs/merge_sort.hvmc,intr-singl,11.835s,494_927_834,41.819 M
compare-4-ptr-refactor,./programs/merge_sort.hvmc,comp-singl,10.186s,494_927_834,48.594 M
compare-4-ptr-refactor,./programs/sum_rec.hvmc,intr-multi,14.951s,1_207_959_540,80.795 M
compare-4-ptr-refactor,./programs/sum_rec.hvmc,comp-multi,13.555s,1_207_959_540,89.115 M
compare-4-ptr-refactor,./programs/sum_rec.hvmc,intr-singl,27.717s,1_207_959_540,43.582 M
compare-4-ptr-refactor,./programs/sum_rec.hvmc,comp-singl,25.538s,1_207_959_540,47.300 M
compare-4-ptr-refactor,./programs/boom.hvmc,intr-multi,3.492s,134_217_902,38.447 M
compare-4-ptr-refactor,./programs/boom.hvmc,comp-multi,2.902s,134_217_902,46.266 M
compare-4-ptr-refactor,./programs/boom.hvmc,intr-singl,4.699s,134_217_902,28.569 M
compare-4-ptr-refactor,./programs/boom.hvmc,comp-singl,4.562s,134_217_902,29.427 M
compare-4-ptr-refactor,./programs/sum_tree.hvmc,intr-multi,5.670s,754_974_690,133.176 M
compare-4-ptr-refactor,./programs/sum_tree.hvmc,comp-multi,5.011s,754_974_690,150.663 M
compare-4-ptr-refactor,./programs/sum_tree.hvmc,intr-singl,15.871s,754_974_690,47.572 M
compare-4-ptr-refactor,./programs/sum_tree.hvmc,comp-singl,13.885s,754_974_690,54.377 M
compare-5-modern-ptr-refactor,./programs/radix_sort_lam.hvmc,intr-multi,4.050s,787_218_431,194.375 M
compare-5-modern-ptr-refactor,./programs/radix_sort_lam.hvmc,comp-multi,3.228s,787_218_431,243.947 M
compare-5-modern-ptr-refactor,./programs/radix_sort_lam.hvmc,intr-singl,13.917s,787_218_431,56.569 M
compare-5-modern-ptr-refactor,./programs/bitonic_sort_lam.hvmc,intr-multi,5.210s,791_019_454,151.827 M
compare-5-modern-ptr-refactor,./programs/bitonic_sort_lam.hvmc,comp-multi,4.390s,791_019_454,180.228 M
